time,diversity,concentration
0,1.0,0.1
1,0.98,0.10200000000000001
2,0.9603999999999999,0.10404000000000001
3,0.9411919999999999,0.10612080000000002
4,0.9223681599999999,0.10824321600000002
5,0.9039207967999998,0.11040808032000002
6,0.8858423808639998,0.11261624192640002
7,0.8681255332467198,0.11486856676492802
8,0.8507630225817854,0.11716593810022657
9,0.8337477621301497,0.11950925686223111
10,0.8170728068875467,0.12189944199947574
11,0.8007313507497957,0.12433743083946525
12,0.7847167237347998,0.12682417945625454
13,0.7690223892601038,0.12936066304537963
14,0.7536419414749017,0.13194787630628724
15,0.7385691026454037,0.134586833832413
16,0.7237977205924956,0.13727857050906125
17,0.7093217661806457,0.14002414191924248
18,0.6951353308570327,0.14282462475762733
19,0.6812326242398921,0.14568111725277988
20,0.6676079717550942,0.14859473959783548
21,0.6542558123199923,0.1515666343897922
22,0.6411706960735924,0.15459796707758805
23,0.6283472821521205,0.15768992641913981
24,0.6157803365090782,0.1608437249475226
25,0.6034647297788965,0.16406059944647305
26,0.5913954351833186,0.16734181143540253
27,0.5795675264796523,0.17068864766411057
28,0.5679761759500592,0.17410242061739278
29,0.5566166524310581,0.17758446902974065
30,0.5454843193824369,0.18113615841033545
31,0.5345746329947881,0.18475888157854217
32,0.5238831403348924,0.18845405921011302
33,0.5134054775281945,0.1922231403943153
34,0.5031373679776306,0.1960676032022016
35,0.493074620618078,0.19998895526624563
36,0.48321312820571644,0.20398873437157056
37,0.4735488656416021,0.20806850905900198
38,0.46407788832877006,0.21222987924018202
39,0.45479633056219465,0.21647447682498566
40,0.44570040395095073,0.2208039663614854
41,0.4367863958719317,0.2252200456887151
42,0.42805066795449304,0.2297244466024894
43,0.41948965459540316,0.23431893553453917
44,0.4110998615034951,0.23900531424522994
45,0.4028778642734252,0.24378542053013455
46,0.39482030698795667,0.24866112894073725
47,0.38692390084819756,0.253634351519552
48,0.3791854228312336,0.25870703854994304
49,0.37160171437460887,0.2638811793209419
50,0.3641696800871167,0.2691588029073608
51,0.35688628648537435,0.27454197896550797
52,0.34974856075566685,0.28003281854481815
53,0.3427535895405535,0.2856334749157145
54,0.33589851774974244,0.2913461444140288
55,0.3291805473947476,0.29717306730230936
56,0.32259693644685267,0.30311652864835553
57,0.3161449977179156,0.30917885922132265
58,0.3098220977635573,0.3153624364057491
59,0.30362565580828615,0.3216696851338641
60,0.2975531426921204,0.32810307883654144
61,0.291602079838278,0.3346651404132723
62,0.2857700382415124,0.34135844322153774
63,0.2800546374766822,0.3481856120859685
64,0.27445354472714856,0.35514932432768787
65,0.2689644738326056,0.36225231081424164
66,0.26358518435595346,0.3694973570305265
67,0.25831348066883436,0.376887304171137
68,0.2531472110554577,0.38442505025455975
69,0.24808426683434853,0.39211355125965097
70,0.24312258149766156,0.399955822284844
71,0.2382601298677083,0.4079549387305409
72,0.23349492727035415,0.41611403750515175
73,0.22882502872494706,0.4244363182552548
74,0.22424852815044813,0.4329250446203599
75,0.21976355758743915,0.44158354551276713
76,0.21536828643569036,0.45041521642302246
77,0.21106092070697655,0.4594235207514829
78,0.20683970229283702,0.4686119911665126
79,0.20270290824698028,0.47798423098984283
80,0.19864885008204067,0.48754391560963967
81,0.19467587308039985,0.49729479392183246
82,0.19078235561879187,0.5072406898002692
83,0.18696670850641603,0.5173855035962746
84,0.18322737433628772,0.5277332136682
85,0.17956282684956196,0.5382878779415641
86,0.1759715703125707,0.5490536355003953
87,0.1724521389063193,0.5600347082104032
88,0.16900309612819292,0.5712354023746113
89,0.16562303420562907,0.5826601104221035
90,0.16231057352151648,0.5943133126305457
91,0.15906436205108615,0.6061995788831566
92,0.15588307481006441,0.6183235704608198
93,0.15276541331386312,0.6306900418700362
94,0.15,0.6433038427074369
95,0.15,0.6561699195615857
96,0.15,0.6692933179528174
97,0.15,0.6826791843118738
98,0.15,0.6963327679981113
99,0.15,0.7102594233580736
100,0.15,0.724464611825235
101,0.15,0.7389539040617398
102,0.15,0.7537329821429746
103,0.15,0.768807641785834
104,0.15,0.7841837946215507
105,0.15,0.7998674705139818
106,0.15,0.8158648199242614
107,0.15,0.8321821163227466
108,0.15,0.8488257586492016
109,0.15,0.8658022738221857
110,0.15,0.8831183192986294
111,0.15,0.9
112,0.15,0.9
113,0.15,0.9
114,0.15,0.9
115,0.15,0.9
116,0.15,0.9
117,0.15,0.9
118,0.15,0.9
119,0.15,0.9
120,0.15,0.9
121,0.15,0.9
122,0.15,0.9
123,0.15,0.9
124,0.15,0.9
125,0.15,0.9
126,0.15,0.9
127,0.15,0.9
128,0.15,0.9
129,0.15,0.9
130,0.15,0.9
131,0.15,0.9
132,0.15,0.9
133,0.15,0.9
134,0.15,0.9
135,0.15,0.9
136,0.15,0.9
137,0.15,0.9
138,0.15,0.9
139,0.15,0.9
140,0.15,0.9
141,0.15,0.9
142,0.15,0.9
143,0.15,0.9
144,0.15,0.9
145,0.15,0.9
146,0.15,0.9
147,0.15,0.9
148,0.15,0.9
149,0.15,0.9
