time,diversity,concentration
0,1.0,0.1
1,0.999,0.10049999999999999
2,0.998001,0.10100249999999998
3,0.997002999,0.10150751249999997
4,0.996005996001,0.10201505006249996
5,0.995009990004999,0.10252512531281245
6,0.994014980014994,0.1030377509393765
7,0.993020965034979,0.10355293969407338
8,0.9920279440699441,0.10407070439254373
9,0.9910359161258742,0.10459105791450644
10,0.9900448802097482,0.10511401320407897
11,0.9890548353295385,0.10563958327009935
12,0.988065780494209,0.10616778118644984
13,0.9870777147137147,0.10669862009238208
14,0.986090636999001,0.10723211319284398
15,0.9851045463620021,0.1077682737588082
16,0.98411944181564,0.10830711512760223
17,0.9831353223738244,0.10884865070324024
18,0.9821521870514506,0.10939289395675643
19,0.9811700348643991,0.1099398584265402
20,0.9801888648295347,0.11048955771867289
21,0.9792086759647052,0.11104200550726624
22,0.9782294672887405,0.11159721553480256
23,0.9772512378214517,0.11215520161247657
24,0.9762739865836303,0.11271597762053893
25,0.9752977125970467,0.11327955750864162
26,0.9743224148844496,0.11384595529618481
27,0.9733480924695651,0.11441518507266572
28,0.9723747443770956,0.11498726099802904
29,0.9714023696327185,0.11556219730301917
30,0.9704309672630859,0.11614000828953426
31,0.9694605362958227,0.11672070833098191
32,0.9684910757595269,0.11730431187263682
33,0.9675225846837673,0.11789083343199999
34,0.9665550620990835,0.11848028759915998
35,0.9655885070369844,0.11907268903715576
36,0.9646229185299474,0.11966805248234152
37,0.9636582956114175,0.12026639274475322
38,0.9626946373158061,0.12086772470847697
39,0.9617319426784903,0.12147206333201933
40,0.9607702107358118,0.12207942364867942
41,0.959809440525076,0.12268982076692281
42,0.9588496310845509,0.1233032698707574
43,0.9578907814534664,0.12391978622011118
44,0.9569328906720129,0.12453938515121173
45,0.9559759577813409,0.12516208207696777
46,0.9550199818235596,0.1257878924873526
47,0.9540649618417361,0.12641683194978934
48,0.9531108968798944,0.12704891610953828
49,0.9521577859830145,0.12768416069008595
50,0.9512056281970315,0.12832258149353637
51,0.9502544225688344,0.12896419440100404
52,0.9493041681462656,0.12960901537300903
53,0.9483548639781193,0.13025706044987406
54,0.9474065091141411,0.13090834575212343
55,0.946459102605027,0.13156288748088404
56,0.9455126435024219,0.13222070191828844
57,0.9445671308589195,0.13288180542787986
58,0.9436225637280606,0.13354621445501924
59,0.9426789411643326,0.13421394552729432
60,0.9417362622231683,0.13488501525493077
61,0.9407945259609451,0.1355594403312054
62,0.9398537314349842,0.1362372375328614
63,0.9389138777035492,0.1369184237205257
64,0.9379749638258457,0.13760301583912832
65,0.9370369888620198,0.13829103091832395
66,0.9360999518731578,0.13898248607291555
67,0.9351638519212846,0.13967739850328012
68,0.9342286880693633,0.14037578549579652
69,0.933294459381294,0.1410776644232755
70,0.9323611649219127,0.14178305274539185
71,0.9314288037569908,0.14249196800911879
72,0.9304973749532338,0.14320442784916437
73,0.9295668775782806,0.1439204499884102
74,0.9286373107007023,0.14464005223835222
75,0.9277086733900016,0.14536325249954396
76,0.9267809647166116,0.14609006876204167
77,0.925854183751895,0.14682051910585187
78,0.9249283295681431,0.14755462170138112
79,0.9240034012385749,0.148292394809888
80,0.9230793978373364,0.14903385678393744
81,0.9221563184394991,0.14977902606785712
82,0.9212341621210596,0.15052792119819638
83,0.9203129279589385,0.15128056080418736
84,0.9193926150309796,0.1520369636082083
85,0.9184732224159486,0.1527971484262493
86,0.9175547491935327,0.15356113416838055
87,0.9166371944443392,0.15432893983922244
88,0.9157205572498949,0.15510058453841855
89,0.914804836692645,0.15587608746111062
90,0.9138900318559524,0.15665546789841617
91,0.9129761418240965,0.15743874523790824
92,0.9120631656822724,0.15822593896409776
93,0.9111511025165902,0.15901706865891824
94,0.9102399514140735,0.1598121540022128
95,0.9093297114626595,0.16061121477222384
96,0.9084203817511969,0.16141427084608495
97,0.9075119613694457,0.16222134220031537
98,0.9066044494080763,0.16303244891131694
99,0.9056978449586682,0.1638476111558735
100,0.9047921471137096,0.16466684921165287
101,0.9038873549665959,0.1654901834577111
102,0.9029834676116293,0.16631763437499963
103,0.9020804841440176,0.16714922254687462
104,0.9011784036598737,0.16798496865960896
105,0.9002772252562138,0.168824893502907
106,0.8993769480309576,0.16966901797042153
107,0.8984775710829266,0.17051736306027362
108,0.8975790935118436,0.17136994987557497
109,0.8966815144183318,0.17222679962495283
110,0.8957848329039134,0.17308793362307756
111,0.8948890480710096,0.17395337329119293
112,0.8939941590229386,0.17482314015764888
113,0.8931001648639156,0.1756972558584371
114,0.8922070646990518,0.17657574213772925
115,0.8913148576343527,0.17745862084841788
116,0.8904235427767183,0.17834591395265995
117,0.8895331192339416,0.17923764352242322
118,0.8886435861147077,0.1801338317400353
119,0.887754942528593,0.18103450089873546
120,0.8868671875860644,0.1819396734032291
